JugadorID,Nombre del Juego,GPU del Jugador,RAM del Jugador (GB),GPU Requerida,RAM MÃ­nima Requerida (GB),Cumple Requisitos,Kills,Muertes,K/D Ratio,Precisión (%),Victorias,Horas Jugadas
J0513,Call of Duty Modern Warfare II,AMD Radeon RX 570,32, AMD Radeon HD 6570,4,SÃ­,11992,11968,1.0,47.37878413780453,3488,6976
J0518,Call of Duty Black Ops,GTX 1080 Ti,8, NVIDIA GeForce GTX 660,8,SÃ­,7788,14029,0.56,28.3127849872255,1268,3068
J0519,Call of Duty Black Ops,RTX 3060,16,"NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM, or better - See supported List*",4,SÃ­,15973,1369,11.67,48.150319338875406,1903,3806
J0535,Call of Duty WW2,RTX 2060 Super,16, AMD Radeon HD 7850,8,SÃ­,3009,8062,0.37,50.487829650519245,1775,3550
J0541,Call of Duty Modern Warfare 3,RTX 2060 Super,16,Intel HD 4000,8,SÃ­,13986,5577,2.51,28.580957674168268,1555,3110
J0556,Call of Duty Modern Warfare II,AMD Radeon R9 380,16, ATI Radeon 3000,4,SÃ­,12282,5242,2.34,36.83827814382469,319,707
J0569,Call of Duty Black Ops,RTX 3080,32, ATI Radeon HD 5770,8,SÃ­,3583,2200,1.63,49.099807598635984,3314,6628
J0580,Call of Duty Ghosts,RTX 3080,16, AMD Radeon RX 560,4,SÃ­,6978,5214,1.34,28.711287156242403,1991,3982
J0584,Call of Duty Modern Warfare 3,RTX 2060 Super,32,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,8,SÃ­,263,2527,0.1,15.341361423027063,1014,4710
J0588,Call of Duty Ghosts,RTX 2060 Super,32, AMD Radeon HD 7870,8,SÃ­,3872,13952,0.28,33.21192291840151,4237,8474
J0589,Call of Duty Black Ops,RTX 3080,16,NVIDIA GeForceÂ® GTX 1050 / NVIDIA GeForceÂ® GTX 660 2GB or AMD RadeonÂ RX 560 / HD 7850 2GB,4,SÃ­,12230,9710,1.26,33.61508675280842,420,840
J0591,Call of Duty WW2,RTX 3080,16, NVIDIA GeForce GTX 660,8,SÃ­,18475,1779,10.39,34.79930492618564,2113,4245
J0598,Call of Duty Modern Warfare II,RTX 3070 Ti,16,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,SÃ­,5905,10244,0.58,12.56914912081086,301,714
J0611,Call of Duty Modern Warfare 3,AMD Radeon R9 380,16,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,SÃ­,8188,13487,0.61,45.92190505316746,2300,4600
J0632,Call of Duty WW2,RTX 3060,32,NVIDIA GeForceÂ® GTX 1050 / NVIDIA GeForceÂ® GTX 660 2GB or AMD RadeonÂ RX 560 / HD 7850 2GB,8,SÃ­,1032,10766,0.1,11.75781440886298,1185,4557
J0633,Call of Duty Modern Warfare II,AMD Radeon RX 570,32, ATI Radeon HD 3870,8,SÃ­,19171,9633,1.99,21.528761749411828,805,1610
J0665,Call of Duty Vanguard,GTX 1080 Ti,16,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,8,SÃ­,12479,8077,1.55,58.76713147812613,1452,2904
J0672,Call of Duty Modern Warfare II,AMD Radeon R9 380,16,AMD RX 570 or Nvidia GTX 1050 Ti,8,SÃ­,9575,1432,6.69,20.87465063687641,3023,6046
J0682,Call of Duty Modern Warfare 3,RTX 3070 Ti,8, NVIDIA GeForce 6600,4,SÃ­,1804,14412,0.13,59.472333980055126,676,1352
J0684,Call of Duty Black Ops,GTX 1080 Ti,32, ATI Radeon HD 5770,8,SÃ­,12287,4737,2.59,32.09547207686996,1029,2169
J0696,Call of Duty WW2,RTX 3090,8,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,SÃ­,7815,10555,0.74,18.740529775020384,1820,3640
J0706,Call of Duty WW2,AMD Radeon RX 570,32, NVIDIA GeForce 510,2,SÃ­,12823,2696,4.76,45.92209270176288,3324,6648
J0710,Call of Duty Vanguard,RTX 2060 Super,32, AMD Radeon X1600,4,SÃ­,1046,12440,0.08,10.965740964534628,789,1669
J0717,Call of Duty Black Ops,GTX 1660 Super,8, NVIDIA GeForce GTX 1050,4,SÃ­,18016,9679,1.86,41.52548967227958,571,1142
J0730,Call of Duty Vanguard,GTX 1080 Ti,16,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,8,SÃ­,5464,10887,0.5,12.878778678524668,1671,3342
J0750,Call of Duty Modern Warfare II,RTX 3060,16, NVIDIA GeForce GTX 1050,8,SÃ­,6146,12193,0.5,58.56957642455419,1565,3130
J0759,Call of Duty Ghosts,RTX 3080,32,"NVIDIA GTX 1650 Super or AMD Radeon RX 5500 XT, with a minimum of 4GB of VRAM",4,SÃ­,1283,9664,0.13,53.74603558214446,1030,2382
J0765,Call of Duty Warzone,GTX 1660 Super,16, AMD Radeon HD 6850,4,SÃ­,6728,1267,5.31,45.00101748651362,3664,7328
J0796,Call of Duty WW2,RTX 3080,8,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,4,SÃ­,13528,13117,1.03,16.631604481627946,3723,7446
J0801,Call of Duty Modern Warfare 3,RTX 3080,32, ATI Radeon HD 3870,8,SÃ­,13708,5833,2.35,19.14460772348856,1303,2606
J0818,Call of Duty Modern Warfare 3,AMD Radeon R9 380,8, AMD Radeon HD 7770,4,SÃ­,14975,1053,14.22,35.21338290321221,1497,3427
J0829,Call of Duty Black Ops,AMD Radeon R9 380,32, AMD Radeon HD 7770,4,SÃ­,17776,13568,1.31,38.90319561917438,1447,2894
J0830,Call of Duty Ghosts,RTX 3090,8, AMD Radeon HD 6570,8,SÃ­,19266,4292,4.49,21.249811143165218,4661,9322
J0833,Call of Duty Modern Warfare II,GTX 1080 Ti,16,NVIDIA GeForce GTX 960 or AMD Radeon RX 470,8,SÃ­,1304,10733,0.12,23.85547190860113,1136,2272
J0853,Call of Duty Ghosts,GTX 1660 Super,32, NVIDIA GeForce GTX 660,8,SÃ­,13724,11763,1.17,19.55125078174811,1898,3796
J0881,Call of Duty Modern Warfare 3,RTX 3080,16, NVIDIA GeForce GTX 670,8,SÃ­,15833,13471,1.18,35.29063372880532,1723,3446
J0883,Call of Duty Modern Warfare II,RTX 3070 Ti,16,2GB GTX 750,8,SÃ­,17824,6445,2.77,39.22879407353104,676,1352
J0901,Call of Duty Modern Warfare II,RTX 3090,32,ATI Radeon HD 4850,8,SÃ­,16270,1568,10.38,26.77334530977535,1816,3632
J0902,Call of Duty WW2,RTX 3070 Ti,8,"NVIDIA GTX 1650 Super or AMD Radeon RX 5500 XT, with a minimum of 4GB of VRAM",4,SÃ­,13489,13659,0.99,52.52127760210447,351,702
J0903,Call of Duty Black Ops,RTX 3070 Ti,8,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,SÃ­,14946,14660,1.02,16.428160270292537,3121,6242
J0904,Call of Duty Modern Warfare 3,AMD Radeon R9 380,32,Card,4,SÃ­,1888,3564,0.53,25.76252518572853,1594,3188
J0940,Call of Duty Black Ops,RTX 3060,8, AMD Radeon HD 7790,8,SÃ­,7294,14400,0.51,46.7547296437497,4372,8744
J0945,Call of Duty Modern Warfare 3,RTX 3070 Ti,16,NVIDIA GeForceÂ® GTX 1050 / NVIDIA GeForceÂ® GTX 660 2GB or AMD RadeonÂ RX 560 / HD 7850 2GB,8,SÃ­,2260,783,2.89,17.25872609744242,3729,7458
J0946,Call of Duty Warzone,RTX 3080,16, NVIDIA GeForce GTX 960  or Radeon RX 470,8,SÃ­,9313,10955,0.85,18.734799312279108,1700,3765
J0950,Call of Duty Ghosts,RTX 3070 Ti,16,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,SÃ­,279,4039,0.07,51.18043705025053,773,1546
J0965,Call of Duty Vanguard,RTX 3060,8, NVIDIA GeForce GTX 670,8,SÃ­,18464,13973,1.32,28.303067016858,1115,2230
J0992,Call of Duty Black Ops,AMD Radeon R9 380,8, AMD Radeon HD 7870,8,SÃ­,11492,8230,1.4,44.82537487887488,783,1566
J8474,Call of Duty Modern Warfare 3,GTX 1080 Ti,32, NVIDIA GeForce GTX 670,8,Sí,26865,25877,1.04,36.89,3947,9550
J3818,Call of Duty Ghosts,RTX 3080,64, AMD Radeon RX 560,4,Sí,1401,138,10.15,58.0,647,1658
J8505,Call of Duty Modern Warfare 3,GTX 1080 Ti,8, NVIDIA GeForce GTX 660,6,Sí,30967,26356,1.17,10.54,287,4789
J2597,Call of Duty WW2,RTX 2060 Super,64,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,56146,49862,1.13,52.02,2723,6035
J5227,Call of Duty WW2,RTX 3060,32, ATI Radeon HD 3870,4,Sí,1475,486,3.03,19.75,120,3844
J3660,Call of Duty WW2,AMD Radeon RX 570,16, NVIDIA GeForce 510,2,Sí,7397,7356,1.01,21.58,1667,4173
J4686,Call of Duty Modern Warfare 3,AMD Radeon R9 380,32,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,18994,16322,1.16,59.89,192,3904
J1683,Call of Duty WW2,GTX 1080 Ti,32,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,4,Sí,15268,9361,1.63,59.94,170,2012
J1858,Call of Duty Ghosts,RTX 3070 Ti,64,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,37315,35506,1.05,33.88,1525,5870
J6586,Call of Duty Black Ops,RTX 3070 Ti,16,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,2137,1955,1.09,39.91,33,233
J4720,Call of Duty Modern Warfare 3,RTX 3070 Ti,16, NVIDIA GeForce GTX 960  or Radeon RX 470,8,Sí,12095,6787,1.78,41.17,601,1250
J4818,Call of Duty Vanguard,RTX 3080,32, NVIDIA GeForce GTX 670,4,Sí,32161,21132,1.52,44.59,478,5203
J8333,Call of Duty Modern Warfare II,AMD Radeon RX 570,8, ATI Radeon HD 5870,8,Sí,19222,14549,1.32,17.12,1344,3116
J2676,Call of Duty Black Ops,RTX 3060,64,"NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM, or better - See supported List*",4,Sí,2851,660,4.32,48.27,173,443
J5372,Call of Duty Modern Warfare 3,RTX 3070 Ti,32,NVIDIA GeForceÂ® GTX 1050 / NVIDIA GeForceÂ® GTX 660 2GB or AMD RadeonÂ RX 560 / HD 7850 2GB,8,Sí,25404,1301,19.53,35.64,929,3770
J2029,Call of Duty Vanguard,RTX 3080,16, NVIDIA GeForce GTX 670,4,Sí,206,124,1.66,42.99,10,106
J2405,Call of Duty WW2,RTX 3060,16, NVIDIA GeForce GTX 660,4,Sí,1008,926,1.09,27.86,74,344
J8857,Call of Duty Ghosts,RTX 2060 Super,8, AMD Radeon HD 7870,8,Sí,4791,4779,1.0,52.05,1036,2148
J7408,Call of Duty Modern Warfare 3,AMD Radeon R9 380,64, AMD Radeon HD 7770,4,Sí,63505,57672,1.1,58.5,4536,9110
J4863,Call of Duty Ghosts,RTX 3070 Ti,32,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,15637,8954,1.75,37.54,2764,8429
J8355,Call of Duty Modern Warfare II,RTX 2060 Super,8, NVIDIA GeForce 6600,4,Sí,27536,16130,1.71,37.56,437,7940
J4448,Call of Duty Vanguard,GTX 1660 Super,64, NVIDIA GeForce 6600,8,Sí,184,44,4.18,59.18,17,120
J4391,Call of Duty Vanguard,GTX 1660 Super,8, NVIDIA GeForce 6600,8,Sí,26044,20978,1.24,27.23,1701,8436
J6386,Call of Duty Black Ops,RTX 3080,64,NVIDIA GeForceÂ® GTX 1050 / NVIDIA GeForceÂ® GTX 660 2GB or AMD RadeonÂ RX 560 / HD 7850 2GB,4,Sí,18370,14728,1.25,12.52,3661,8437
J1644,Call of Duty Black Ops,RTX 3090,16, AMD Radeon HD 6970,8,Sí,18697,6503,2.88,54.84,987,2449
J9817,Call of Duty Modern Warfare II,RTX 2060 Super,64, NVIDIA GeForce 6600,4,Sí,35336,5617,6.29,29.56,1724,3801
J1690,Call of Duty Modern Warfare II,AMD Radeon RX 570,16, AMD Radeon HD 6570,4,Sí,7420,80,92.75,23.32,1519,5479
J8834,Call of Duty Ghosts,RTX 3080,32, AMD Radeon RX 560,4,Sí,2305,2186,1.05,11.77,1292,9176
J1208,Call of Duty Vanguard,GTX 1660 Super,32, AMD Radeon HD 7850,8,Sí,18131,4062,4.46,46.52,47,2242
J3203,Call of Duty Black Ops,RTX 3060,32,"NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM, or better - See supported List*",4,Sí,9774,3685,2.65,34.78,185,1253
J6842,Call of Duty Black Ops,GTX 1660 Super,8, AMD Radeon HD 6850,8,Sí,71420,65014,1.1,24.15,2380,9503
J7753,Call of Duty Ghosts,AMD Radeon R9 380,64, NVIDIA GeForce GTX 660,4,Sí,1450,952,1.52,23.73,457,3211
J2959,Call of Duty Modern Warfare 3,GTX 1080 Ti,64, NVIDIA GeForce GTX 660,6,Sí,1877,1681,1.12,46.39,981,4578
J6179,Call of Duty WW2,RTX 3060,16, NVIDIA GeForce GTX 660,4,Sí,25048,10407,2.41,45.15,671,3820
J8876,Call of Duty Vanguard,RTX 3080,8, Intel HD 4000  or Radeon HD 7870,2,Sí,52,13,4.0,32.94,7,34
J9562,Call of Duty Black Ops,RTX 3060,64, AMD Radeon HD 7790,8,Sí,24614,17950,1.37,41.65,3773,8026
J9477,Call of Duty Modern Warfare 3,AMD Radeon R9 380,32,Card,4,Sí,52246,49072,1.06,21.37,590,9437
J3321,Call of Duty Modern Warfare 3,RTX 2060 Super,64,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,8,Sí,6553,1507,4.35,35.47,38,702
J9205,Call of Duty Modern Warfare II,RTX 2060 Super,32, NVIDIA GeForce 6600,4,Sí,67970,28917,2.35,31.82,242,7126
J5376,Call of Duty Ghosts,RTX 3060,32, AMD Radeon HD 7770,8,Sí,48789,29542,1.65,38.73,3014,8369
J1422,Call of Duty Modern Warfare II,AMD Radeon R9 380,16, ATI Radeon 3000,4,Sí,10541,10065,1.05,14.34,723,2388
J1206,Call of Duty Vanguard,GTX 1080 Ti,64,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,8,Sí,7126,4987,1.43,15.87,2734,5866
J4267,Call of Duty WW2,RTX 3090,16,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,11298,193,58.54,26.8,398,1340
J1135,Call of Duty WW2,RTX 3060,64,NVIDIA GeForceÂ® GTX 1050 / NVIDIA GeForceÂ® GTX 660 2GB or AMD RadeonÂ RX 560 / HD 7850 2GB,8,Sí,6417,4218,1.52,38.87,595,1986
J3687,Call of Duty Ghosts,RTX 3090,64, AMD Radeon HD 6570,8,Sí,30049,25849,1.16,13.8,1549,3275
J2437,Call of Duty Modern Warfare 3,GTX 1080 Ti,16, NVIDIA GeForce GTX 660,6,Sí,4504,297,15.16,35.87,529,5155
J9060,Call of Duty WW2,GTX 1660 Super,16, AMD Radeon R9 280,4,Sí,9786,7802,1.25,58.95,417,3639
J5469,Call of Duty Vanguard,GTX 1660 Super,16, AMD Radeon HD 7850,8,Sí,12693,7348,1.73,14.61,795,1990
J9695,Call of Duty Modern Warfare 3,RTX 2060 Super,32,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,8,Sí,29049,9155,3.17,16.18,2670,7573
J2637,Call of Duty Modern Warfare II,AMD Radeon R9 380,16, ATI Radeon 3000,4,Sí,2724,2307,1.18,23.47,163,1390
J9932,Call of Duty Vanguard,GTX 1660 Super,8, NVIDIA GeForce 6600,8,Sí,51770,30425,1.7,10.73,3891,8527
J3372,Call of Duty Vanguard,RTX 3090,16, AMD Radeon RX 560,8,Sí,61324,12312,4.98,10.84,1170,7825
J4766,Call of Duty Ghosts,RTX 3090,32, AMD Radeon HD 6570,8,Sí,51621,26283,1.96,47.43,1381,9456
J8193,Call of Duty Modern Warfare II,RTX 3070 Ti,32,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,35822,35187,1.02,30.45,222,3846
J8693,Call of Duty Modern Warfare 3,AMD Radeon R9 380,16, AMD Radeon HD 7770,4,Sí,17837,2240,7.96,13.56,2712,8168
J9848,Call of Duty Black Ops,AMD Radeon RX 570,32,"AMD Radeon RX 560,Nvidia GeForce GTX 1050 Ti",8,Sí,39588,7120,5.56,59.36,2802,7454
J4335,Call of Duty Warzone,GTX 1080 Ti,32, AMD Radeon HD 7790,8,Sí,1933,278,6.95,29.93,355,954
J2125,Call of Duty Vanguard,RTX 3080,8, NVIDIA GeForce GTX 670,4,Sí,20666,15111,1.37,22.67,1521,3527
J4733,Call of Duty Modern Warfare 3,AMD Radeon R9 380,16, AMD Radeon HD 7770,4,Sí,16856,4699,3.59,32.67,234,1836
J3380,Call of Duty WW2,GTX 1080 Ti,64,NVIDIAÂ® GeForceÂ® GTX 960 or AMD RadeonÂ RX 470 -,4,Sí,8719,2773,3.14,30.91,349,2835
J2545,Call of Duty Ghosts,RTX 3090,32, AMD Radeon HD 6570,8,Sí,3440,733,4.69,25.71,885,2247
J3458,Call of Duty Vanguard,GTX 1660 Super,8, AMD Radeon HD 7850,8,Sí,4097,3625,1.13,45.84,632,1355
J8990,Call of Duty Modern Warfare II,RTX 3060,16, NVIDIA GeForce GTX 1050,8,Sí,11456,4302,2.66,32.51,1159,5115
J8355,Call of Duty Modern Warfare 3,AMD Radeon RX 570,64, AMD Radeon R9 270 / R7 370,4,Sí,11320,5588,2.03,34.89,369,3509
J7863,Call of Duty Modern Warfare II,RTX 3090,8,2GB GTX 750,8,Sí,38003,11151,3.41,29.11,133,4259
J5711,Call of Duty Vanguard,RTX 3090,16, AMD Radeon RX 560,8,Sí,19128,14906,1.28,10.14,188,3760
J9356,Call of Duty Modern Warfare II,RTX 3070 Ti,64,2GB GTX 750,8,Sí,5161,4630,1.11,17.89,216,520
J4809,Call of Duty Modern Warfare II,GTX 1080 Ti,8, Intel HD 4000  or Radeon HD 7870,2,Sí,6662,6240,1.07,29.35,242,1715
J1126,Call of Duty Vanguard,RTX 2060 Super,16, AMD Radeon X1600,4,Sí,22854,17476,1.31,25.9,749,5047
J1299,Call of Duty Black Ops,RTX 2060 Super,16,"NVIDIA GTX 1650 Super or AMD Radeon RX 5500 XT, with a minimum of 4GB of VRAM",8,Sí,46893,46365,1.01,37.27,953,8339
J1073,Call of Duty Ghosts,GTX 1660 Super,16, NVIDIA GeForce GTX 660,8,Sí,1901,1613,1.18,38.52,2256,6867
J7586,Call of Duty Ghosts,RTX 2060 Super,64, AMD Radeon HD 7770,4,Sí,40970,2150,19.06,20.34,1549,5773
J4881,Call of Duty Modern Warfare 3,AMD Radeon RX 570,32, AMD Radeon R9 270 / R7 370,4,Sí,12462,65,191.72,10.98,1078,6361
J7413,Call of Duty Modern Warfare II,AMD Radeon R9 380,64, ATI Radeon 3000,4,Sí,23012,11794,1.95,33.39,550,2515
J9117,Call of Duty Modern Warfare 3,RTX 2060 Super,16, AMD Radeon R9 270 / R7 370,8,Sí,46427,27787,1.67,56.28,645,5715
J2206,Call of Duty Black Ops,RTX 3080,32, ATI Radeon HD 5770,8,Sí,31218,21733,1.44,18.05,930,7987
J6137,Call of Duty Modern Warfare II,GTX 1080 Ti,32,NVIDIA GeForce GTX 960 or AMD Radeon RX 470,8,Sí,75679,63300,1.2,22.31,3061,8906
J5103,Call of Duty Ghosts,RTX 3070 Ti,16,NVIDIAÂ® GeForceÂ® GTX 960 / GTX 1650 or AMD RadeonÂ RX 470,8,Sí,9744,9328,1.04,19.53,2880,6831
J6486,Call of Duty Warzone,RTX 3070 Ti,16, ATI Radeon HD 5770,8,Sí,17294,16286,1.06,54.58,1742,6147
J4858,Call of Duty Modern Warfare II,RTX 3080,16, NVIDIA GeForce GTX 1050,4,Sí,62019,5345,11.6,49.28,3143,6292
